subbasn,MassFlux_Low,MassFlux_Median,MassFlux_High,subbasin,mask,name
173.0,40.76161461821957,169.7276654487812,479.014951878183,173,0,land
174.0,103.36142914449577,430.3876141918923,1214.6641017890445,174,0,land
175.0,3745.66653095357,15596.615634656944,44017.644783738826,175,0,land
177.0,2.3557901876182794,9.809296628129049,27.684347980972014,177,0,land
178.0,2.7668604363210942,11.520955852162656,32.51508879546658,178,0,land
179.0,383980.9711481547,1598861.929787284,4512397.954286564,179,0,Nemanus
180.0,34441.670314311064,143411.99070146016,404745.3763237257,180,0,Neva
181.0,432199.8083875476,1799640.7937246023,5079047.3428396275,181,0,Upper_subbbasin
182.0,6595137.086584107,27461552.5293804,77503536.20064953,182,0,Delta_subbasin
183.0,3910871.6730748545,16284514.859332073,45959072.61834387,183,0,Benue_subbasin
184.0,2168426.964727327,9029133.165270861,25482526.830424782,184,0,Sokoto-Rima_subbasin
185.0,21357.446561396355,88930.46997192864,250984.56802236952,185,0,Middle_subbasin
186.0,889772.7347707074,3704932.948978607,10456269.89315092,186,0,White_Nile_subbasin
187.0,483261.48263667163,2012256.9730733025,5679104.6679076785,187,0,Desert_subbasin
188.0,3032542.08613175,12627230.139805501,35637278.23499094,188,0,Blue_Nile_subbasin
189.0,0.0,0.0,0.0,189,0,Atbara_subbasin
190.0,84556.73571372125,352086.57667463017,993678.5151484167,190,0,Irtysh_subbasin
191.0,57999.96377393853,241506.58750069045,681593.4578727699,191,0,Upstream_subbasin
192.0,88300.53527214927,367675.4184050591,1037674.2199829443,192,0,Downstream_subbasin
193.0,175794.20913974094,731991.139118578,2065866.5124098656,193,0,Odra (Oder)
194.0,370919.8726135422,1544476.700368884,4358908.904732646,194,0,Ogooue
195.0,20786.341594383943,86552.44069892007,244273.160222332,195,0,Olenek
196.0,21636.85486131221,90093.90078535218,254268.0678197189,196,0,Olifants
197.0,5612.875060327531,23371.50256111935,65960.3674217379,197,0,Onega
198.0,566792.7515265461,2360073.5989219686,6660732.287970648,198,0,Orange
199.0,4734500.448927316,19714030.36383791,55638043.92813363,199,0,Oriono
200.0,15447.440268440934,64321.73991336591,181532.42765611393,200,0,Oulujoki
201.0,8260636.582779077,34396541.340371735,97075851.19590423,201,0,Parana_subasin
202.0,547859.7323072281,2281238.2244626996,6438238.665595919,202,0,Paraguay-subbasin
203.0,7763994.599225717,32328569.175336685,91239503.98344217,203,0,Delta_subbasin
204.0,2751972.08195423,11458962.09522417,32340126.532136574,204,0,Uruguay_subbasin
205.0,353302.2893565638,1471118.6819227764,4151873.784188641,205,0,Pilcomayo_subbasin
206.0,286549.61535537423,1193166.6030661825,3367421.813286402,206,0,Salado_subbasin
207.0,236269.71230279116,983805.6480589806,2776551.565217097,207,0,Sink_subbasin
208.0,253340.31317748548,1054886.0814865301,2977158.757378429,208,0,Parnaiba
209.0,57603889.286099605,239857369.26450524,676938941.5218024,209,0,Xijiang
210.0,1466452.7246091764,6106176.1112786755,17233193.235586736,210,0,Yujiang
211.0,1886074.7366517605,7853444.102058256,22164431.111913644,211,0,Liujiang
212.0,131376137.22789583,547038317.2064698,1543882268.687983,212,0,Delta zhujiang
213.0,2323566.1279979064,9675118.567179427,27305663.119909767,213,0,Dongjiang
214.0,457566.5988930937,1905265.8081593888,5377148.192060818,214,0,Beijiang
215.0,49439.90028059897,205863.25966822388,580998.8558006663,215,0,Downstream_subbasin
216.0,9407.938322702716,39173.80170423191,110558.50375730764,216,0,Usa_subbasin
217.0,31082.567739808623,129424.99231306824,365270.4837526166,217,0,Upstream-subbasin
219.0,9343.00045007541,38903.4062936606,109795.37864013584,219,0,Peel
220.0,1149845.3698193086,4787851.807992147,13512544.330006862,220,0,Penner
221.0,55395.61873919039,230662.3310375682,650988.1881066294,221,0,Penzhina
222.0,548589.1403342524,2284275.413316624,6446810.390593495,222,0,Po
223.0,220564.23353548875,918409.459245151,2591986.7675169464,223,0,Pregolya
224.0,19337.866286827124,80521.12092136798,227251.2307368416,224,0,Pur
225.0,15174.438485334871,63184.985254750536,178324.21480139656,225,0,Pyasina
226.0,1840779.825549507,7664840.201302586,21632142.58838017,226,0,Qujiang
227.0,4612487.20142822,19205978.270077392,54204190.769305214,227,0,Rhine
228.0,295249.99466598366,1229394.1932325587,3469665.353338191,228,0,Rhone
229.0,1452156.034088469,6046645.988920892,17065183.980165023,229,0,Roviuna
230.0,27156.689184468076,113077.99015737957,319135.0559762724,230,0,Saguenay
231.0,1157878.304863013,4821300.220780493,13606944.319542132,231,0,Sakarya
232.0,4247658.2432049075,17686863.58467246,49916859.96791459,232,0,Salween
233.0,820201.488459383,3415244.5907185,9638695.135230793,233,0,San Francisco
234.0,199805.64110636347,831972.563553013,2348039.704903493,234,0,Sanaga
235.0,580549.536926388,2417355.6053357036,6822396.784287197,235,0,Sassandra
236.0,247763.70107072082,1031665.5745743357,2911624.5383592653,236,0,Save
237.0,1585373.920880176,6601353.184230813,18630709.78743566,237,0,Seine
238.0,225966.42426716446,940903.6913746734,2655471.2530459804,238,0,Senegal
239.0,2348.753968862783,9779.998451544461,27601.661021190434,239,0,Severn
240.0,210291.5697591547,875635.0191983599,2471266.339963472,240,0,St_Lawrence
241.0,5947046.906558213,24762963.813345872,69887427.53308305,241,0,Subamarekha
242.0,244221.19617574188,1016914.9055614132,2869994.371652422,242,0,Tana (Kenya)
243.0,11736485.975951994,48869662.89064291,137922707.86242902,243,0,Tapti
244.0,3505.8971404946956,14598.237644240635,41199.966335319805,244,0,Taymyra
245.0,8146.931260714431,33923.08269443999,95739.6296088245,245,0,Taz
246.0,2101148.2701930804,8748990.78463427,24691893.266798865,246,0,Tejo (Tagus)
247.0,4879.752924093782,20318.848493383786,57344.99562898582,247,0,Tornionjoki
248.0,9141.330562204346,38063.67117570054,107425.43101812343,248,0,Tuloma
249.0,57406.35044595817,239034.83545452997,674617.5403974678,249,0,Uda
250.0,13972.719265790227,58181.13544240586,164202.06876982184,250,0,Ume_Vindealven
251.0,20926.33223710074,87135.34903548965,245918.27687466424,251,0,Perm_Ufa_subbasin
252.0,43716.90819826709,182033.23981709962,513744.43512587575,252,0,Middlestream_stem_subbasi
253.0,770673.5729713441,3209014.8437110805,9056661.958274031,253,0,Oka_subbasin
254.0,37149.89414617199,154688.78905205955,436571.3901027372,254,0,Upstream_subbasin
255.0,320399.7964015481,1334115.6861139783,3765216.2332761614,255,0,Downstream_subbasin
256.0,14588.119278705452,60743.605268185616,171434.01505883507,256,0,Vyatka_subbasin
257.0,992941.7387483729,4134519.3222322883,11668672.687754449,257,0,Volta
258.0,339302.6458770533,1412825.4364969567,3987355.312325851,258,0,Weser
259.0,1494.95818726989,6224.8702718327995,17568.17856314498,259,0,Winisk
260.0,1205126.5484880563,5018037.620958192,14162187.662043642,260,0,Wisla (Vistula)
261.0,537519.6050716756,2238182.8726918884,6316725.433194704,261,0,Yalu
262.0,14016.532751989136,58363.57082425625,164716.94815278443,262,0,Yana
263.0,9375988.296800148,39040764.694823384,110183039.23600322,263,0,Jinsha
264.0,14106472.074422065,58738070.003730945,165773880.7745827,264,0,Dongting
265.0,107018027.32793042,445613357.3076031,1257635049.3160565,265,0,Upstream Yangtze
266.0,9456464.440883555,39375860.05813342,111128764.19431299,266,0,Poyang
267.0,12035105.750623973,50113088.54211995,141431973.5854417,267,0,Jialing
268.0,80013213.96354495,333167764.28714216,940284780.0644939,268,0,Han
269.0,21529692.30045247,89647685.60352992,253008734.26745018,269,0,Middlestream Yangtze
270.0,14681037.97122603,61130510.27442207,172525960.10181758,270,0,Min
271.0,26125247.233942077,108783159.44597627,307013943.48051006,271,0,Wu
272.0,1755934908.9051158,7311553665.375911,20635077480.822937,272,0,Delta Yangtze
273.0,11926410.693671571,49660492.18559322,140154630.72345957,273,0,Downstream Yangtze
274.0,8598114.666131243,35801769.464036144,101041764.94517514,274,0,Lanzhou
275.0,11405868.26339185,47493000.72859579,134037414.57472683,275,0,Toudaogual
276.0,3241384.4669338004,13496830.867654335,38091514.25893156,276,0,Longmen
277.0,5092499.640790013,21204706.52170155,59845113.919563435,277,0,Wehe
278.0,19924279.217226755,82962891.16520959,234142531.88541204,278,0,Huayuankou
279.0,16931941.522002,70503068.46186967,198977720.32172415,279,0,Delta Yellow
280.0,89401.29978321727,372258.9019697394,1050609.9847762943,280,0,Angara_subbasin
281.0,60357.4491387414,251322.94269283264,709297.7269296146,281,0,N_Tunguska_subbasin
282.0,172575.7846443402,718589.9114894994,2028044.814981352,282,0,Downstream_subbasin
283.0,107470.1736386426,447496.05352749623,1262948.500348266,283,0,Selenge_subbasin
284.0,25243.626409010347,105112.17031004034,296653.4717233213,284,0,P_Tunguska_subbasin
285.0,95124.8652559573,396091.3093665062,1117871.1437165174,285,0,Yesil
286.0,31513.705610354904,131220.21129395888,370337.051606881,286,0,Upper_subbasin
287.0,40686.60821989995,169415.3456106259,478133.50528637966,287,0,Middle_subbasin
288.0,7512.032113800751,31279.42024361756,88278.53693242157,288,0,Upper_subbasin2
289.0,4609.023020454053,19191.553734765323,54163.481035449484,289,0,Tanana_subbasin
290.0,101006.99281276642,420583.9548968653,1186995.6638062303,290,0,Delta_subbasin
291.0,6438.32459673602,26808.599547404312,75660.7356152943,291,0,Koyukuk_subbasin
292.0,673087.1106594184,2802673.6675152467,7909863.064605695,292,0,Kariba_subbasin
293.0,3321335.3771348293,13829739.204726448,39031066.868936494,293,0,Delta_subbasin
294.0,377413.23464678566,1571514.4708090064,4435216.41931504,294,0,Kafue_subbasin
295.0,468607.2580186684,1951238.1111692402,5506893.808108535,295,0,Shire_subbasin
296.0,472535.1563371104,1967593.5234352539,5553052.9713706765,296,0,Luangwa_subbasin
297.0,61411.85246563565,255713.3824924179,721688.6727648829,297,0,Basin123
305.0,71111.34474976866,296101.18844278663,835673.407502305,305,0,Basin100305
307.0,125.40942728913411,522.1934783108239,1473.7637686983019,307,0,Basin100467
309.0,85340.5921124677,355350.4836089461,1002890.0966483583,309,0,Basin100529
312.0,26861.80298579916,111850.11077767589,315669.6658147701,312,0,Basin100677
313.0,15515.25018434987,64604.09425161526,182329.30393077122,313,0,Basin100678
314.0,87470.12073072717,364217.64758831396,1027915.5049437113,314,0,Basin100679
315.0,206325.4698086503,859120.5388020227,2424658.245688283,315,0,Basin100695
316.0,6125.329064124485,25505.31454401025,71982.53146670334,316,0,Basin100712
323.0,4061.4415045204514,16911.47397804311,47728.51186258766,323,0,Basin101186
324.0,0.0,0.0,0.0,324,0,Basin101187
325.0,129541.23283243738,539397.9417630577,1522319.171913629,325,0,Basin101230
327.0,316913.1013767295,1319597.4043374308,3724241.922882165,327,0,Basin101249
328.0,38223.239623074325,159158.10224588023,449184.93686192814,328,0,Basin101258
331.0,39683.687710889,165239.2755942766,466347.56589557877,331,0,Basin101402
332.0,6033.443484564192,25122.71132641823,70902.72717328608,332,0,Basin101403
335.0,3.465392693809033,14.429580802733202,40.72397352292241,335,0,Basin101740
336.0,1027021.8446148976,4276425.791373653,12069169.096558625,336,0,Basin101744
338.0,13260.2739274043,55214.577685146134,155829.68282095346,338,0,Basin101906
341.0,320799.8870307566,1335781.6271984894,3769917.945789079,341,0,Basin101969
343.0,19922.2214157091,82954.3226663702,234118.34938665226,343,0,Basin102123
349.0,10.58609302353075,44.079530998372036,124.40372855048703,349,0,Basin102460
350.0,359114.9988819264,1495322.2770676732,4220182.530043101,350,0,Basin102521
352.0,12105.945930991895,50408.06062667627,142264.46037252824,352,0,Basin102633
353.0,33781.90084934008,140664.7705024383,396992.0171529997,353,0,Basin102672
355.0,213738.73553568078,889988.7047710406,2511776.1177047268,355,0,Basin102699
357.0,1303585.9095980863,5428013.468561499,15319244.529535754,357,0,Basin102893
359.0,346.32216582510574,1442.0540807622297,4069.846034089884,359,0,Basin103179
360.0,191.43605043659005,797.1223472785185,2249.683466823327,360,0,Basin103180
361.0,168801.64174102273,702874.7228236453,1983692.5267281309,361,0,Basin103241
362.0,1173.9709941117114,4888.308718911806,13796.059467169533,362,0,Basin103344
363.0,7.10362192712637,29.578837276554236,83.47905615255709,363,0,Basin103394
364.0,26720.825908058523,111263.09501515469,314012.95695418253,364,0,Basin103409
368.0,5841.865887360199,24324.99959124112,68651.38030282651,368,0,Basin103591
375.0,485.3743424417642,2021.0547296268082,5703.934190666803,375,0,Basin103898
377.0,33058.03917758971,137650.6761687186,388485.4708076795,377,0,Basin103962
379.0,182798.8980261218,761158.0281884982,2148182.9451924767,379,0,Basin104114
380.0,569880.5313661807,2372930.834056289,6697018.699221685,380,0,Basin104115
382.0,117696.95251346048,490079.433006971,1383129.7060358357,382,0,Basin104129
384.0,43032.346095489105,179182.78532339362,505699.72232950747,384,0,Basin104285
385.0,45002.136226906805,187384.8127347449,528847.9448385692,385,0,Basin104307
386.0,118444.93589381025,493193.96794701996,1391919.7215025874,386,0,Basin104320
387.0,11825.551997614963,49240.52572493576,138969.37778658353,387,0,Basin104321
388.0,282385.5980421187,1175828.0127260622,3318487.8696335056,388,0,Basin104322
393.0,12354.757651888627,51444.09006073163,145188.4008402546,393,0,Basin104617
394.0,94.80652337167913,394.7657626397838,1114.1301112817978,394,0,Basin104682
395.0,283501.1491336635,1180473.0662704357,3331597.400682237,395,0,Basin104784
396.0,180822.54254027712,752928.6632369102,2124957.569141673,396,0,Basin104836
399.0,37446.836888172606,155925.23169163047,440060.94797727774,399,0,Basin104849
400.0,144013.4373446718,599658.8884592403,1692391.0008372206,400,0,Basin104860
402.0,793239.8943257981,3302978.9586543203,9321852.761899352,402,0,Basin105007
403.0,196178.62079693485,816869.9800214109,2305416.34527324,403,0,Basin105008
405.0,236181.823998572,983439.6891332833,2775518.7353792586,405,0,Basin105042
409.0,219217.98243394986,912803.7917878588,2576166.1379207047,409,0,Basin105117
410.0,40586.054025736696,168996.64706822849,476951.8307396425,410,0,Basin105335
411.0,11940.190440601136,49717.86980173367,140316.56505491777,411,0,Basin105336
